,#label,doc_id,sentence_id,text
0,0,124,204,主食の米に、油と塩を多用する
1,0,91,349,主食は米、魚、野菜、果物である
2,1,177,465,魚・肉の料理が比較的に少なく、スープや野菜の煮物などの料理が圧倒的に多い
3,0,120,165,肉、魚、野菜などの具材を炒めてからスープで煮込んだ後、同じスープで米を炊き込むベンヌチン（1つ鍋）と、炊いた白米の上に、野菜などを煮込んだソースをかけるニャーリチン（2つ鍋）とに大別される
4,1,90,122,主に、パーム油、コーヒー、木材
5,1,158,108,ほかに輸出品として衣料、動物の皮、バニラ、野菜、果物、切花、魚が成長しており、茶、タバコも依然重要な産品である
6,1,149,498,最もポピュラーなのは魚・肉などを串焼きにするキャバーブである
7,1,149,497,また、カスピ海やペルシャ湾から獲れる魚料理に、鳥・羊・牛などの他、ラクダ|駱駝等も用いる肉料理、野菜料理などは種類豊富
8,1,116,252,中でも肉骨茶（バクテー）は人気が高い
9,1,104,195,アンゴラの主食は、キャッサバやトウモロコシの粉を湯と混ぜて餅状にしたフンジであり、肉や野菜をパーム油と煮た、シチュー状のムアンバと共に食べることが多い
10,0,124,207,おかずも油や塩がよくきいていて、高カロリーなものが多い
11,1,130,401,夏期には米を栽培し、冬期は麦を育てる
12,1,113,489,コメのほかコーヒー、茶、ゴム、魚製品の輸出も多い
13,1,134,65,経済格差が大きく、木材とコプラ、パーム油に鰹と鮪が主要品目である
14,0,110,196,イタリアの森林業資源はとぼしく、木材の多くを輸入にたよっている
15,0,96,74,このような気候を受け、国土の1/3が森林であるほか、ステップ性の草原も残っている
16,1,177,467,肉料理は豚肉料理、魚料理は鯉類料理が一般的である
17,1,144,143,多くの場合、魚・牛肉・鶏肉や調理された野菜を副菜にして一緒に食べる
18,0,177,473,調味料としては、サーロ、向日葵油、スメターナ、酢、塩、蜂蜜などが用いられる[100]
19,1,109,374,シュルパ（シュルヴァやシャルヴァとも呼ばれる）は脂肪の多い肉（通常羊肉を用いる）の大きな塊と新鮮な野菜から作るスープである
20,1,109,371,ウズベキスタンの国民食はプロフ（パラフ、パラウ、オシュとも呼ぶ）であり、米、肉、ニンジンやタマネギなどの野菜を使用して作るピラフに似た料理で、主菜として供される
21,0,79,598,ローストした大量の肉塊ばかりではなく、キャベツや根野菜、主食のイモを多く使う
22,1,109,377,肉と野菜のシチューに近いディムラマや様々なカバブは通常主菜として供される
23,0,29,159,カーボベルデの料理は大概魚とトウモロコシと米のような主食を基礎としている
24,1,53,341,海に囲まれているため魚介類も豊富で、魚や海老などを使った料理も多い
25,0,14,187,WWFからの報告で、同国のエコリージョンは中央ヨーロッパの混交林、東ヨーロッパの森林草原、ポントス・カスピ海草原の3つのエリアに細分されていることが明らかとなっている
26,0,149,278,一方、イランの東半は塩分を含むキャビール砂漠のような無人に近い砂漠地帯が広がり、塩湖が点在する
27,0,142,11,同国の地形は、乾燥した北の森林ステップ、ゴビ砂漠、タクラマカン砂漠から、多湿な南の亜熱帯の森林まで広大かつ多様である
28,0,25,374,ヨルダンとの国境付近に、世界的にも高濃度の塩湖である死海がある
29,1,9,347,チリの主な農産物は、穀物であるオート麦、トウモロコシ、小麦、果物 - 桃、リンゴ、ナシやブドウと野菜ニンニク、タマネギ、アスパラガスと豆などである
30,1,124,205,塩水と油で炊いた米に、更に炊き上がったらサラダ油をたっぷりとかけてツヤツヤにする
31,0,64,522,現在、1%から2.8%のアメリカ人が肉、家禽、魚を全く食べないと回答している[107][108][109][110]
32,1,140,157,また果樹・青果物栽培も行なっており、主にキウイフルーツやフェイジョア、キワノ、タマリロなどの果物やパースニップ、スウィード、ビートルート、ルバーブ、リーキなどの野菜が名産となっている
33,1,55,747,四季があり降水量が多いため、米を含む穀物、野菜や山菜などの種類が豊富である
34,0,4,152,主要産業はGDPの約35%を占める農業（米、麦など、林業も含む）だが、最大の輸出商品は電力である
35,1,174,593,よく知られているものとしては、前者にソーセージ （Wurst） 、ハム （Schinken） 、チーズ （Käse） などの冷製食品、後者に塩漬け肉アイスバイン（Eisbein）、キャベツの塩漬けザワークラウト（Sauerkraut）、肉や魚の団子クネーデル（Knödel）などがある
36,1,9,303,林業については、国土の2割が森林となっており木材生産が盛んに行われてきたが、1980年代以降、アメリカ合衆国や日本の業者が進出し、パルプ用の木材チップの生産を飛躍的に高めた
37,1,80,577,マダガスカルでは毎回の食事に米飯が食され、それにさまざまな種類の香り豊かな野菜料理か肉料理が一品つくのが普通である[159]
38,1,174,160,主な天然資源は、鉄鉱石、石炭、炭酸カリウム、木材、褐炭、ウラン、銅、天然ガス、塩、ニッケル、可耕地と水である[14]
39,0,111,112,モンゴルの草原
40,1,4,176,例外は輸出が可能な果樹、原木である
